"samplesize","model","m","mfit","s","sfit","color"
4100,"RF",0.574,0.569411451988411,0.0585662018573853,0.0461349236491049,"#8CDA11"
4100,"SVM",0.586,0.571380668012487,0.0606630035524124,0.045507913939047,"#F26B59"
4200,"NN",0.528,0.560173905545891,0.033466401061363,0.0474408181880668,"#F0CD0A"
4200,"RF",0.524,0.571203201417408,0.0296647939483826,0.0465587954351728,"#8CDA11"
4200,"SVM",0.538,0.573167080037319,0.0319374388453426,0.0458201142153351,"#F26B59"
4300,"NN",0.554,0.561624275066043,0.0415932686861708,0.0470311216666611,"#F0CD0A"
4300,"RF",0.56,0.573001276882323,0.0674536878161602,0.0469040794864685,"#8CDA11"
4300,"SVM",0.578,0.57490334670657,0.0426614580154031,0.0460894150532105,"#F26B59"
4400,"NN",0.554,0.562967594257546,0.0450555213042752,0.046491994668635,"#F0CD0A"
4400,"RF",0.564,0.574825505136055,0.0482700735445887,0.047134921933812,"#8CDA11"
4400,"SVM",0.568,0.576597977738345,0.0476445169982864,0.0462918239310061,"#F26B59"
4500,"NN",0.584,0.564207082642756,0.0288097205817758,0.0458239680542391,"#F0CD0A"
4500,"RF",0.608,0.576684351814074,0.0342052627529742,0.0472470980795313,"#8CDA11"
4500,"SVM",0.6,0.57825573315901,0.0353553390593274,0.0464223434532205,"#F26B59"
4600,"NN",0.568,0.56534403280779,0.0526307894677631,0.0450463734075301,"#F0CD0A"
4600,"RF",0.56,0.578569421161622,0.0360555127546399,0.047266633423799,"#8CDA11"
4600,"SVM",0.582,0.579874060179554,0.0465832587954085,0.0464964047132963,"#F26B59"
4700,"NN",0.59,0.566378147270285,0.058309518948453,0.0441648706596212,"#F0CD0A"
4700,"RF",0.602,0.580475247846249,0.0476445169982864,0.0472030493942022,"#8CDA11"
4700,"SVM",0.59,0.581450499295024,0.0406201920231798,0.0465206579229822,"#F26B59"
4800,"NN",0.598,0.567309128547879,0.0277488738510232,0.0431851197416254,"#F0CD0A"
4800,"RF",0.616,0.582396366535504,0.0536656314599949,0.0470658674183278,"#8CDA11"
4800,"SVM",0.604,0.582982591000464,0.0482700735445887,0.046501753294027,"#F26B59"
4900,"NN",0.552,0.568136679158206,0.0491934955049954,0.0421127805846558,"#F0CD0A"
4900,"RF",0.582,0.584327311896937,0.0327108544675922,0.0468646089237629,"#8CDA11"
4900,"SVM",0.574,0.584467875790919,0.0364691650576209,0.0464463410381792,"#F26B59"
5000,"NN",0.546,0.568860501618905,0.042190046219458,0.0409535131198254,"#F0CD0A"
5000,"RF",0.566,0.586262618598098,0.0563914887194867,0.0466087953380944,"#8CDA11"
5000,"SVM",0.574,0.585903894161434,0.057706152185014,0.0463610713671876,"#F26B59"
