"samplesize","model","m","mfit","s","sfit","color"
3200,"RF",0.548,0.559212770657327,0.0511859355682789,0.0483263844625142,"#8CDA11"
3200,"SVM",0.56,0.560142610868195,0.051478150704935,0.0482936527605709,"#F26B59"
3300,"NN",0.574,0.557991567070378,0.0343511280746353,0.0516797532905315,"#F0CD0A"
3300,"RF",0.576,0.560614996663066,0.0279284800875379,0.0481338903747548,"#8CDA11"
3300,"SVM",0.572,0.561659858237435,0.0294957624075052,0.0483752070704081,"#F26B59"
3400,"NN",0.534,0.559229033249711,0.0760263112349929,0.0516410807250019,"#F0CD0A"
3400,"RF",0.558,0.561569579760429,0.0825832912882503,0.0479128571011532,"#8CDA11"
3400,"SVM",0.544,0.562860527041433,0.0736885337077622,0.0485214714342006,"#F26B59"
3500,"NN",0.576,0.560325683387931,0.0568330889535313,0.05149468871778,"#F0CD0A"
3500,"RF",0.58,0.562322960481988,0.0452769256906871,0.0476756096095973,"#8CDA11"
3500,"SVM",0.58,0.563933877940596,0.0447213595499958,0.0486803132256783,"#F26B59"
3600,"NN",0.548,0.561446415886129,0.0535723809439155,0.0512592505305472,"#F0CD0A"
3600,"RF",0.536,0.563121579360318,0.0450555213042752,0.0474344728679746,"#8CDA11"
3600,"SVM",0.54,0.56506917159533,0.0604152298679729,0.048799599818571,"#F26B59"
3700,"NN",0.554,0.562756129145394,0.0531977443130815,0.0509534394249851,"#F0CD0A"
3700,"RF",0.548,0.564211876927994,0.0526307894677631,0.0472017718441731,"#8CDA11"
3700,"SVM",0.55,0.566455668666042,0.0360555127546399,0.0488271985866087,"#F26B59"
3800,"NN",0.552,0.564419721566817,0.0544977063737548,0.0505959286627753,"#F0CD0A"
3800,"RF",0.55,0.565840293717588,0.0308220700148449,0.0469898315060804,"#8CDA11"
3800,"SVM",0.56,0.568282629813138,0.0479583152331272,0.0487109769035213,"#F26B59"
3900,"NN",0.572,0.566307872813486,0.0593295878967653,0.0501934448076908,"#F0CD0A"
3900,"RF",0.56,0.567807728635778,0.0717635004720366,0.0468022608858159,"#8CDA11"
3900,"SVM",0.554,0.570392977729994,0.0684105255059483,0.0485081764040106,"#F26B59"
4000,"NN",0.606,0.568204726866934,0.0517687164221792,0.0497338021398103,"#F0CD0A"
4000,"RF",0.624,0.569786579145848,0.0384707681233427,0.0466312128976481,"#8CDA11"
4000,"SVM",0.614,0.572536102040892,0.0415932686861709,0.0483002376546048,"#F26B59"
4100,"NN",0.568,0.570145378605924,0.0715541752799933,0.0492073054952737,"#F0CD0A"
4100,"RF",0.572,0.571830533615288,0.0729383301152419,0.0464718283326886,"#8CDA11"
4100,"SVM",0.584,0.574760963802597,0.0730068489937759,0.048071326426773,"#F26B59"
4200,"NN",0.536,0.572164922909217,0.0409878030638384,0.0486042597102207,"#F0CD0A"
4200,"RF",0.524,0.573993280411585,0.0336154726279433,0.0463192479820487,"#8CDA11"
4200,"SVM",0.552,0.577116524071876,0.0491934955049954,0.0478056084919842,"#F26B59"
4300,"NN",0.578,0.574298454655575,0.0349284983931459,0.0479149696207912,"#F0CD0A"
4300,"RF",0.58,0.576328507902229,0.0380788655293195,0.0461686126368396,"#8CDA11"
4300,"SVM",0.578,0.579651743905493,0.0356370593624109,0.0474872496217077,"#F26B59"
4400,"NN",0.58,0.576581068723761,0.0380788655293195,0.0471297400631251,"#F0CD0A"
4400,"RF",0.58,0.578889904454708,0.033166247903554,0.0460150630881729,"#8CDA11"
4400,"SVM",0.596,0.582415584360214,0.0336154726279432,0.0471004155874124,"#F26B59"
4500,"NN",0.568,0.579014949758942,0.0327108544675922,0.0462473744674001,"#F0CD0A"
4500,"RF",0.574,0.581681671472912,0.0676756972627545,0.045856435622748,"#8CDA11"
4500,"SVM",0.576,0.585408571269478,0.0687749954561976,0.0466420982694432,"#F26B59"
4600,"NN",0.574,0.581572441941824,0.0304959013639538,0.0452748749533208,"#F0CD0A"
4600,"RF",0.584,0.584662430993664,0.0270185121722126,0.0456948217099981,"#8CDA11"
4600,"SVM",0.578,0.588589861939358,0.0319374388453426,0.0461226808940902,"#F26B59"
